Source,WORD,AoA (Yrs),AoA (100-700),IMG,FAM,Length (Letters),,,,,,,,,
GL,abandonment,NA,359,348,359,11,,,,,,,,,
GL,abatement,NA,294,189,294,9,,,,,,,,,
BN,abbey,7.80,480,575,429,5,,,,,,,,,
GL,abdomen,NA,426,548,426,7,,,,,,,,,
BN,abide,8.90,533,160,397,5,,,,,,,,,
GL,ability,NA,563,327,563,7,,,,,,,,,
BN,able,5.90,322,200,599,4,,,,,,,,,
BN,aboard,6.00,345,362,456,6,,,,,,,,,
GL,abode,NA,334,458,334,5,,,,,,,,,
GL,abridgement,NA,303,240,303,11,,,,,,,,,
BN,abrupt,9.10,557,242,484,6,,,,,,,,,
GL,abscess,NA,392,491,392,7,,,,,,,,,
GL,absolution,NA,372,256,372,10,,,,,,,,,
BN,absorb,7.40,438,334,501,6,,,,,,,,,
BN,absurd,8.60,526,142,503,6,,,,,,,,,
GL,abundance,NA,448,386,448,9,,,,,,,,,
GL,abyss,NA,293,453,293,5,,,,,,,,,
GL,acceleration,NA,499,486,499,12,,,,,,,,,
BN,accent,6.30,353,316,560,6,,,,,,,,,
BN,access,7.70,467,256,543,6,,,,,,,,,
GL,accident,NA,564,518,564,8,,,,,,,,,
GL,accommodation,NA,533,466,533,13,,,,,,,,,
GL,accordance,NA,431,237,431,10,,,,,,,,,
GL,accumulation,NA,451,354,451,12,,,,,,,,,
BN,accuse,7.30,440,239,514,6,,,,,,,,,
GL,accuser,NA,363,343,363,7,,,,,,,,,
BN,ache,5.40,302,311,575,4,,,,,,,,,
GL,acidity,NA,399,432,399,7,,,,,,,,,
GL,acre,NA,427,464,427,4,,,,,,,,,
GL,act,NA,566,433,566,3,,,,,,,,,
BN,active,6.60,386,343,551,6,,,,,,,,,
BN,actor,5.80,324,469,550,5,,,,,,,,,
BN,actress,5.60,307,562,543,7,,,,,,,,,
BN,actual,7.10,407,169,607,6,,,,,,,,,
GL,actuality,NA,361,213,361,9,,,,,,,,,
BN,acute,9.70,609,238,441,5,,,,,,,,,
BN,adapt,8.00,480,225,523,5,,,,,,,,,
GL,adder,NA,361,583,361,5,,,,,,,,,
BN,addict,8.60,532,430,509,6,,,,,,,,,
GL,addition,NA,535,347,535,8,,,,,,,,,
BN,address,5.50,299,399,628,7,,,,,,,,,
GL,adherence,NA,375,326,375,9,,,,,,,,,
GL,adjournment,NA,327,305,327,11,,,,,,,,,
BN,adjust,8.10,495,275,513,6,,,,,,,,,
GL,administration,NA,502,413,502,14,,,,,,,,,
GL,admission,NA,482,389,482,9,,,,,,,,,
GL,adolescence,NA,444,467,444,11,,,,,,,,,
BN,adopt,6.90,415,274,453,5,,,,,,,,,
GL,adultery,NA,456,494,456,8,,,,,,,,,
GL,adventurer,NA,402,497,402,10,,,,,,,,,
BN,adverse,10.00,607,174,459,7,,,,,,,,,
GL,advice,NA,566,352,566,6,,,,,,,,,
GL,aerial,NA,481,567,481,6,,,,,,,,,
BN,afar,7.50,452,250,430,4,,,,,,,,,
BN,affect,7.50,442,100,597,6,,,,,,,,,
GL,affection,NA,513,484,513,9,,,,,,,,,
GL,affirmation,NA,332,313,332,11,,,,,,,,,
BN,afford,7.50,452,274,639,6,,,,,,,,,
GL,affright,NA,219,232,219,8,,,,,,,,,
GL,afternoon,NA,655,513,655,9,,,,,,,,,
GL,age,NA,582,468,582,3,,,,,,,,,
GL,agency,NA,420,366,420,6,,,,,,,,,
BN,agent,7.70,466,405,452,5,,,,,,,,,
GL,aggressor,NA,359,383,359,9,,,,,,,,,
GL,agony,NA,509,491,509,5,,,,,,,,,
GL,ague,NA,196,224,196,4,,,,,,,,,
BN,aide,9.10,553,250,394,4,,,,,,,,,
GL,aim,NA,549,383,549,3,,,,,,,,,
BN,airport,5.00,252,650,503,7,,,,,,,,,
GL,airship,NA,332,545,332,7,,,,,,,,,
BN,aisle,7.00,407,530,478,5,,,,,,,,,
GL,alacrity,NA,245,189,245,8,,,,,,,,,
GL,albatross,NA,309,583,309,9,,,,,,,,,
GL,alchemist,NA,262,394,262,9,,,,,,,,,
GL,algae,NA,317,424,317,5,,,,,,,,,
GL,alias,NA,384,294,384,5,,,,,,,,,
BN,alive,5.10,283,295,531,5,,,,,,,,,
GL,alkali,NA,391,432,391,6,,,,,,,,,
GL,allegation,NA,383,291,383,10,,,,,,,,,
GL,allegory,NA,314,244,314,8,,,,,,,,,
GL,allotment,NA,420,470,420,9,,,,,,,,,
BN,allow,5.50,305,170,586,5,,,,,,,,,
GL,ally,NA,410,453,410,4,,,,,,,,,
BN,aloft,10.10,619,285,393,5,,,,,,,,,
BN,aloud,6.00,353,288,514,5,,,,,,,,,
GL,alphabet,NA,493,499,493,8,,,,,,,,,
BN,altar,6.80,407,575,450,5,,,,,,,,,
BN,alter,6.70,394,238,477,5,,,,,,,,,
GL,altitude,NA,420,472,420,8,,,,,,,,,
GL,aluminium,NA,453,505,453,9,,,,,,,,,
GL,amateur,NA,502,397,502,7,,,,,,,,,
BN,amber,8.10,495,490,449,5,,,,,,,,,
GL,ambition,NA,517,346,517,8,,,,,,,,,
GL,amendment,NA,403,305,403,9,,,,,,,,,
GL,amethyst,NA,285,510,285,8,,,,,,,,,
GL,amity,NA,200,205,200,5,,,,,,,,,
BN,amongst,6.80,406,235,539,7,,,,,,,,,
GL,amount,NA,583,316,583,6,,,,,,,,,
GL,amplitude,NA,374,389,374,9,,,,,,,,,
BN,amuse,7.20,422,255,531,5,,,,,,,,,
GL,analogy,NA,417,267,417,7,,,,,,,,,
BN,anchor,6.50,387,620,436,6,,,,,,,,,
BN,ancient,7.10,430,409,503,7,,,,,,,,,
GL,anecdote,NA,388,357,388,8,,,,,,,,,
GL,angel,NA,470,554,470,5,,,,,,,,,
BN,angry,4.50,247,440,592,5,,,,,,,,,
BN,anguish,8.70,533,184,431,7,,,,,,,,,
GL,animal,NA,620,575,620,6,,,,,,,,,
GL,ankle,NA,543,613,543,5,,,,,,,,,
GL,annex,NA,390,435,390,5,,,,,,,,,
GL,announcement,NA,519,381,519,12,,,,,,,,,
BN,annual,7.40,438,232,469,6,,,,,,,,,
GL,answer,NA,605,368,605,6,,,,,,,,,
GL,antagonism,NA,417,378,417,10,,,,,,,,,
GL,anteroom,NA,241,375,241,8,,,,,,,,,
BN,anthem,8.60,516,330,456,6,,,,,,,,,
GL,anticipation,NA,492,435,492,12,,,,,,,,,
GL,antique,NA,484,549,484,7,,,,,,,,,
BN,anxious,8.20,488,305,521,7,,,,,,,,,
GL,anybody,NA,591,329,591,7,,,,,,,,,
GL,apartment,NA,491,556,491,9,,,,,,,,,
GL,aperture,NA,356,424,356,8,,,,,,,,,
BN,apex,11.80,700,226,380,4,,,,,,,,,
GL,apology,NA,510,400,510,7,,,,,,,,,
GL,appeal,NA,514,402,514,6,,,,,,,,,
BN,appear,5.70,335,307,542,6,,,,,,,,,
GL,apple,NA,598,637,598,5,,,,,,,,,
GL,appointment,NA,541,386,541,11,,,,,,,,,
GL,approach,NA,508,329,508,8,,,,,,,,,
GL,approval,NA,526,375,526,8,,,,,,,,,
BN,approve,7.10,415,215,520,7,,,,,,,,,
GL,apricot,NA,428,591,428,7,,,,,,,,,
BN,apron,5.00,261,541,436,5,,,,,,,,,
GL,arbiter,NA,238,257,238,7,,,,,,,,,
BN,arch,6.50,351,604,463,4,,,,,,,,,
GL,arch,NA,483,557,483,4,,,,,,,,,
BN,archer,7.70,459,522,400,6,,,,,,,,,
GL,archery,NA,351,550,351,7,,,,,,,,,
GL,area,NA,560,394,560,4,,,,,,,,,
BN,argue,5.00,291,395,584,5,,,,,,,,,
BN,arise,8.40,517,255,464,5,,,,,,,,,
GL,aristocracy,NA,401,470,401,11,,,,,,,,,
GL,arm,NA,608,593,608,3,,,,,,,,,
GL,armour,NA,406,536,406,6,,,,,,,,,
GL,army,NA,555,578,555,4,,,,,,,,,
BN,arouse,10.40,658,317,468,6,,,,,,,,,
GL,arrangement,NA,525,316,525,11,,,,,,,,,
BN,arrest,6.50,374,473,479,6,,,,,,,,,
GL,arrival,NA,548,419,548,7,,,,,,,,,
BN,arrive,5.10,291,274,607,6,,,,,,,,,
BN,arrow,5.70,317,463,462,5,,,,,,,,,
GL,article,NA,533,421,533,7,,,,,,,,,
GL,artifice,NA,252,240,252,8,,,,,,,,,
BN,artist,5.30,283,538,488,6,,,,,,,,,
GL,asbestos,NA,427,513,427,8,,,,,,,,,
BN,ascent,9.10,570,265,395,6,,,,,,,,,
GL,ash,NA,494,553,494,3,,,,,,,,,
BN,ashore,8.00,477,317,431,6,,,,,,,,,
BN,askew,10.10,638,129,408,5,,,,,,,,,
GL,aspect,NA,482,233,482,6,,,,,,,,,
GL,assemble,NA,482,413,482,8,,,,,,,,,-
GL,assent,NA,325,345,325,6,,,,,,,,,
BN,assist,7.50,433,258,508,6,,,,,,,,,
GL,assistance,NA,534,348,534,10,,,,,,,,,
GL,assortment,NA,492,367,492,10,,,,,,,,,
BN,assure,8.60,527,230,501,6,,,,,,,,,
GL,aster,NA,205,224,205,5,,,,,,,,,
BN,asthma,7.90,473,405,505,6,,,,,,,,,
GL,astrolabe,NA,126,150,126,9,,,,,,,,,
GL,astronomy,NA,391,483,391,9,,,,,,,,,
GL,athlete,NA,482,591,482,7,,,,,,,,,
GL,atmosphere,NA,540,444,540,10,,,,,,,,,
BN,atom,10.70,692,390,428,4,,,,,,,,,
GL,atrocity,NA,371,404,371,8,,,,,,,,,
GL,attempt,NA,558,302,558,7,,,,,,,,,
GL,attitude,NA,553,321,553,8,,,,,,,,,
BN,attract,6.60,373,226,565,7,,,,,,,,,
BN,auction,8.70,532,455,422,7,,,,,,,,,
GL,audience,NA,511,555,511,8,,,,,,,,,
GL,audit,NA,326,253,326,5,,,,,,,,,
BN,august,4.50,245,385,527,6,,,,,,,,,
GL,aunt,NA,554,567,554,4,,,,,,,,,
GL,aurora,NA,254,345,254,6,,,,,,,,,
GL,author,NA,554,460,554,6,,,,,,,,,
GL,automobile,NA,456,628,456,10,,,,,,,,,
GL,autumn,NA,533,622,533,6,,,,,,,,,
BN,avenge,9.30,570,225,418,6,,,,,,,,,
GL,avenue,NA,529,564,529,6,,,,,,,,,
GL,aviator,NA,272,445,272,7,,,,,,,,,
GL,avowal,NA,215,208,215,6,,,,,,,,,
BN,await,7.90,495,260,465,5,,,,,,,,,
BN,aware,7.30,437,190,562,5,,,,,,,,,
BN,away,4.40,218,205,642,4,,,,,,,,,
BN,awesome,7.70,466,260,510,7,,,,,,,,,
BN,awkward,7.60,460,265,558,7,,,,,,,,,
GL,axe,NA,461,597,461,3,,,,,,,,,
BN,axle,9.20,567,395,391,4,,,,,,,,,
GL,babe,NA,370,562,370,4,,,,,,,,,
GL,back,NA,587,483,587,4,,,,,,,,,
GL,background,NA,540,427,540,10,,,,,,,,,
BN,bacon,4.60,252,650,553,5,,,,,,,,,
BN,badge,4.80,268,481,473,5,,,,,,,,,
GL,bag,NA,634,570,634,3,,,,,,,,,
BN,baggage,6.80,393,602,490,7,,,,,,,,,
GL,bagpipe,NA,397,594,397,7,,,,,,,,,
BN,bail,8.50,512,251,437,4,,,,,,,,,
BN,bait,7.30,430,395,422,4,,,,,,,,,
BN,bake,5.50,313,481,517,4,,,,,,,,,
GL,balance,NA,545,429,545,7,,,,,,,,,
BN,bald,5.60,310,547,472,4,,,,,,,,,
GL,ball,NA,575,622,575,4,,,,,,,,,
GL,ballot,NA,453,437,453,6,,,,,,,,,
BN,bamboo,6.80,376,552,419,6,,,,,,,,,
GL,band,NA,555,579,555,4,,,,,,,,,
BN,banger,6.40,380,331,425,6,,,,,,,,,
GL,banker,NA,524,565,524,6,,,,,,,,,
BN,banner,6.40,368,548,480,6,,,,,,,,,
GL,barb,NA,302,448,302,4,,,,,,,,,
